lat,lng,distrito,precio_usd,area_m2,dormitorios,banos,antiguedad_anios
-12.0907231,-77.0342128,San Isidro,1250,200,3,2,6
-12.1168858,-77.0369478,Miraflores,1304,188,3,2,12
-11.9287541,-77.0558182,Comas,211,50,1,1,1
-11.9287541,-77.0558182,Comas,225,60,2,2,18
-12.0993476,-76.9503362,La Molina,789,140,2,1,10
-12.0966427,-77.0457853,San Isidro,2050,327,3,3,25
-12.0974182,-77.0393885,San Isidro,3000,210,3,3,11
-12.1219632,-77.0215783,Miraflores,843,75,2,2,10
-12.109414774735397,-77.04457554914323,Miraflores,3000,200,3,3,10
-12.0824235,-77.0460148,Jesus Maria,690,58,2,2,1
-12.1288008,-77.0267267,Miraflores,750,80,2,1,20
-12.0827677,-77.0499428,Jesus Maria,705,59,2,2,1
-12.1120968,-77.0351141,Miraflores,2500,215,2,3,4
-12.09702423690486,-77.03215579921196,San Isidro,980,44,1,1,9
-12.1219632,-77.0215783,Miraflores,906,56,1,1,10
-12.1396979,-77.0230081,Barranco,600,55,1,1,2
-11.974649499999998,-77.071456,Los Olivos,314,88,1,1,15
-12.0728372,-77.0869223,San Miguel,522,69,2,1,5
-12.1397041,-77.0227408,Barranco,700,50,1,1,2
-12.0902833,-77.01966929999999,La Victoria,928,74,3,2,1
-12.0282138,-77.0648568,San Martin de Porres,448,80,7,6,34
-12.1210441,-77.0333271,Miraflores,1135,76,2,2,5
-12.0977882,-77.0305164,San Isidro,950,62,2,2,1
-12.1219632,-77.0215783,Miraflores,880,55,2,2,10
-12.1503126,-77.0185111,Barranco,650,50,1,1,2
-12.0886691,-77.0360963,San Isidro,754,67,2,2,1
-12.0966697,-77.0446434,San Isidro,800,90,1,2,10
-12.122800011210169,-77.04004739144055,Miraflores,4000,310,3,4,5
-12.0930875,-77.0687532,Magdalena del Mar,800,82,3,2,4
-12.127623,-77.0281011,Miraflores,1217,135,2,3,4
-12.0808281,-77.0584176,Pueblo Libre,742,72,3,2,10
-12.127623,-77.0281011,Miraflores,1150,135,3,3,5
-12.1394891,-77.0231343,Barranco,900,50,1,1,3
-12.123929565656573,-77.03483532913403,Miraflores,950,200,2,2,15
-12.0263803,-77.0594834,San Martin de Porres,327,70,2,1,10
-12.1502727,-77.0223015,Barranco,2500,309,4,3,20
-12.1337057,-77.028807,Miraflores,1900,180,2,3,25
-12.1098312,-77.0274636,Miraflores,768,52,1,1,10
-12.1229481,-77.040051,Miraflores,6500,320,4,4,4
-12.1302499,-77.0212,Miraflores,812,75,2,1,5
-12.127623,-77.0281011,Miraflores,1100,130,3,3,5
-12.1253816,-77.0239003,Miraflores,1159,180,3,4,4
-12.1251193,-77.0337998,Miraflores,950,105,2,3,4
-12.0839889,-77.0951676,San Miguel,521,61,2,2,5
-12.1301899,-77.025982,Miraflores,890,60,1,1,12
-12.1096688,-77.0489975,Miraflores,754,48,1,1,10
-12.12642895587148,-77.02607653802067,Miraflores,1000,60,1,1,3
-12.131367951503051,-77.00785820926208,Santiago de Surco,1000,100,2,2,40
-12.1222033,-77.0321486,Miraflores,1150,95,2,2,10
-12.1220859,-77.032755,Miraflores,841,80,3,3,12
-12.0772455,-77.0434355,Jesus Maria,3500,400,19,8,50
-12.1190058,-77.036812,Miraflores,1280,81,3,2,10
-12.1302499,-77.0212,Miraflores,980,110,3,3,4
-12.0907231,-77.0342128,San Isidro,1200,125,2,3,5
-12.0918101,-77.0422032,San Isidro,1300,125,2,3,5
-12.1096688,-77.0489975,Miraflores,994,60,2,2,10
-12.3562961,-76.8045555,Punta Negra,545,78,2,1,15
-12.139667811083685,-77.02282653068846,Barranco,650,36,1,1,3
-12.0736412,-77.0944202,San Miguel,551,55,1,1,5
-12.12330731826571,-77.02432907093956,Miraflores,1159,103,2,2,3
-12.1288008,-77.0267267,Miraflores,2000,217,2,3,8
-12.1431257,-76.9651187,San Juan de Miraflores,1014,118,2,2,10
-12.0966601,-76.9817917,Santiago de Surco,1300,130,3,2,14
-12.13567,-77.0260055,Miraflores,3000,258,3,2,10
-12.136879034732912,-77.00825964576572,Santiago de Surco,750,98,3,2,14
-12.1096688,-77.0489975,Miraflores,884,52,1,2,10
